title
"American President, The"
"Treasure of the Sierra Madre, The"
"Deer Hunter, The"
"Manchurian Candidate, The"
"Big Sleep, The"
"Unbearable Lightness of Being, The"
"Room with a View, A"
"Killing Fields, The"
My Life as a Dog (Mitt liv som hund)
"Man Who Would Be King, The"
Until the End of the World (Bis ans Ende der Welt)
"American Werewolf in London, An"
"Amityville Curse, The"
Blood For Dracula (Andy Warhol's Dracula)
"Blob, The"
"Body Snatcher, The"
"Nightmare on Elm Street, A"
"Nosferatu (Nosferatu, eine Symphonie des Grauens)"
Nosferatu a Venezia
"Omen, The"
"Mirror Has Two Faces, The"
Identification of a Woman (Identificazione di una donna)
"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il)"
"Preacher's Wife, The"
Zero Kelvin (Kjærlighetens kjøtere)
"Crucible, The"
"Forbidden Christ, The (Cristo proibito, Il)"
I Can't Sleep (J'ai pas sommeil)
Star Trek: The Wrath of Khan
"Substance of Fire, The"
"Cérémonie, La"
"Last of the Mohicans, The"
"Evening Star, The"
"Whole Wide World, The"
"Thieves (Voleurs, Les)"
"Portrait of a Lady, The"
Jackie Chan's First Strike
"Cement Garden, The"
"Tickle in the Heart, A"
Prisoner of the Mountains (Kavkazsky Plennik)
"Beautician and the Beast, The"
"Pest, The"
Salut cousin!
Jungle2Jungle (a.k.a. Jungle 2 Jungle)
"Daytrippers, The"
"Quiet Room, The"
"Devil's Own, The"
"Sixth Man, The"
"Brother's Kiss, A"
Temptress Moon (Feng Yue)
"Fifth Element, The"
"Promise, The (La Promesse)"
Shall We Dance? (Shall We Dansu?)
"Designated Mourner, The"
"Lost World: Jurassic Park, The"
"War at Home, The"
"Pillow Book, The"
"Next Step, The"
Roseanna's Grave (For Roseanna)
"Last Time I Committed Suicide, The"
When the Cats Away (Chacun cherche son chat)
Contempt (Le Mépris)
"Innocent Sleep, The"
"Simple Wish, A"
"Hunt for Red October, The"
"Thousand Acres, A"
"MatchMaker, The"
"Lay of the Land, The"
"Smile Like Yours, A"
"Full Monty, The"
Indian Summer (a.k.a. Alive & Kicking)
"Mrs. Brown (Her Majesty, Mrs. Brown)"
"House of Yes, The"
"Life Less Ordinary, A"
"Tango Lesson, The"
"Rainmaker, The"
"Joy Luck Club, The"
"Truman Show, The"
"Wings of the Dove, The"
"Man Who Knew Too Little, The"
"Apostle, The"
"Boys, Les"
"Butcher Boy, The"
Mouse Hunt
"Sweet Hereafter, The"
"Education of Little Tree, The"
"Horse Whisperer, The"
"Winter Guest, The"
"Big Lebowski, The"
My Life in Pink (Ma vie en rose)
3 Ninjas: High Noon On Mega Mountain
"Midaq Alley (Callejón de los milagros, El)"
"Leading Man, The"
"Prophecy II, The"
Duoluo tianshi
"Letter From Death Row, A"
Mat' i syn
"Replacement Killers, The"
"Wedding Singer, The"
"Further Gesture, A"
"Paralyzing Fear: The Story of Polio in America, A"
"Sadness of Sex, The"
U.S. Marshalls
"Callejón de los milagros, El"
"Man in the Iron Mask, The"
"Newton Boys, The"
"Cool Dry Place, A"
Hana-bi
"Price Above Rubies, A"
"Proposition, The"
"Object of My Affection, The"
"Player's Club, The"
"Big One, The"
"Spanish Prisoner, The"
"Last Days of Disco, The"
"Odd Couple II, The"
"Gingerbread Man, The"
"Borrowers, The"
"Alan Smithee Film: Burn Hollywood Burn, An"
"Real Blonde, The"
Character (Karakter)
"Big Hit, The"
"Friend of the Deceased, A"
"Hanging Garden, The"
"Opposite of Sex, The"
"Ugly, The"
"Perfect Murder, A"
"Land Girls, The"
"Children of Heaven, The (Bacheha-Ye Aseman)"
"X-Files: Fight the Future, The"
"Broadway Melody, The"
"Great Ziegfeld, The"
"Life of Émile Zola, The"
"Lost Weekend, The"
"Best Years of Our Lives, The"
"Greatest Show on Earth, The"
"Man for All Seasons, A"
"French Connection, The"
Kramer Vs. Kramer
"Last Emperor, The"
"Breakfast Club, The"
"Nightmare on Elm Street Part 2: Freddy's Revenge, A"
"Nightmare on Elm Street 3: Dream Warriors, A"
"Nightmare on Elm Street 4: The Dream Master, A"
"Nightmare on Elm Street 5: The Dream Child, A"
Friday the 13th Part 3: 3D
"Exorcist III, The"
"Goonies, The"
"Mask of Zorro, The"
"Absent Minded Professor, The"
"Apple Dumpling Gang Rides Again, The"
Seven Samurai (The Magnificent Seven) (Shichinin no samurai)
"Last Temptation of Christ, The"
"Godfather: Part III, The"
East Palace West Palace (Dong gong xi gong)
"$1,000,000 Duck"
"Barefoot Executive, The"
"Black Cauldron, The"
"Cat from Outer Space, The"
"Computer Wore Tennis Shoes, The"
"Devil and Max Devlin, The"
"Far Off Place, A"
"Gnome-Mobile, The"
"Great Mouse Detective, The"
"Happiest Millionaire, The"
"Incredible Journey, The"
"Governess, The"
Seventh Heaven (Le Septième ciel)
"Purple Rose of Cairo, The"
"Trip to Bountiful, The"
